assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
500969,11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
506633,12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Lutjanus,cyanopterus,,,,"(Cuvier, 1828)",Vulnerable,A2bd,3.1,Decreasing,Global
520080,137111,Dichotomius schiffleri,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,schiffleri,,,,"Vaz-de-Mello &amp; Louzada &amp; Gavino, 2001",Endangered,B2ab(iii),3.1,Unknown,Global
520414,137131,Canthon corpulentus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,corpulentus,,,,"Harold, 1868",Vulnerable,B2ab(iii),3.1,Unknown,Global
527397,137584,Canthon quadripunctatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,quadripunctatus,,,,"Redtenbacher, 1867",Vulnerable,B2ab(iii),3.1,Unknown,Global
528913,137667,Holocephalus sculptus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Holocephalus,sculptus,,,,"(Gillet, 1907)",Near Threatened,,3.1,Unknown,Global
532143,137853,Ontherus irinus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Ontherus,irinus,,,,"Balthasar, 1938",Near Threatened,,3.1,Unknown,Global
534925,138026,Ateuchus squalidus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Ateuchus,squalidus,,,,"(Fabricius, 1775)",Vulnerable,"B2ab(ii,iii)",3.1,Unknown,Global
535247,138041,Oxysternon pteroderum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Oxysternon,pteroderum,,,,"Nevinson, 1892",Near Threatened,,3.1,Unknown,Global
540208,138354,Dichotomius eucranioides,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,eucranioides,,,,"Pereira &amp; Andretta, 1955",Endangered,B2ab(iii),3.1,Unknown,Global
540460,138372,Pedaridium hirsutum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Pedaridium,hirsutum,,,,"(Harold, 1859)",Vulnerable,D2,3.1,Unknown,Global
722547,155018,Sciades parkeri,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Sciades,parkeri,,,,"(Traill, 1832)",Vulnerable,A2bd,3.1,Decreasing,Global
739675,15602,Euryoryzomys lamia,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Euryoryzomys,lamia,,,,"(Thomas, 1901)",Vulnerable,"B2ab(i,iii)",3.1,Decreasing,Global
894216,161696,Alopias superciliosus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,superciliosus,,,,"Lowe, 1841",Vulnerable,A2bd,3.1,Decreasing,Global
896599,126710128,Mobula hypostoma,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MOBULIDAE,Mobula,hypostoma,,,,"(Bancroft, 1831)",Endangered,A2cd+3d,3.1,Decreasing,Global
1316719,17081,Mesoclemmys hogei,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELIDAE,Mesoclemmys,hogei,,,,"(Mertens, 1967)",Critically Endangered,A2bcd+4bcd,3.1,Decreasing,Global
1339018,172024,Phrynops williamsi,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELIDAE,Phrynops,williamsi,,,,"Rhodin &amp; Mittermeier, 1983",Vulnerable,A4cd,3.1,Decreasing,Global
1550291,178938,Enneanectes smithi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,TRIPTERYGIIDAE,Enneanectes,smithi,,,,"Lubbock &amp; Edwards, 1981",Vulnerable,D2,3.1,Unknown,Global
1772180,185147,Scartella poiti,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,BLENNIIDAE,Scartella,poiti,,,,"Rangel, Gasparini &amp; Guimarães, 2004",Vulnerable,D2,3.1,Unknown,Global
1772865,185152,Lupinoblennius paivai,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,BLENNIIDAE,Lupinoblennius,paivai,,,,"(Pinto, 1958)",Endangered,B2ab(iii),3.1,Decreasing,Global
1941553,190138,Rhomboplites aurorubens,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Rhomboplites,aurorubens,,,,"(Cuvier, 1829)",Vulnerable,A2bd,3.1,Decreasing,Global
2090038,192412,Conus henckesi,ANIMALIA,MOLLUSCA,NEOGASTROPODA,GASTROPODA,CONIDAE,Conus,henckesi,,,,"Coltro, 2004",Vulnerable,B2ab(iii),3.1,Unknown,Global
2317059,194344,Lutjanus synagris,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Lutjanus,synagris,,,,"(Linnaeus, 1758)",Near Threatened,,3.1,Decreasing,Global
